City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ahipara,-35.1667,173.1667,58.06,61,8,3.11,NZ,2022-07-03 03:44:39
1,Hilo,19.7297,-155.09,77.61,88,71,1.01,US,2022-07-03 03:54:27
2,La Asuncion,11.0333,-63.8628,87.53,70,49,13.8,VE,2022-07-03 03:54:28
3,Kokkola,63.8385,23.1307,63.93,94,0,10.36,FI,2022-07-03 03:54:28
4,Mar Del Plata,-38.0023,-57.5575,39.94,75,0,2.3,AR,2022-07-03 03:54:29
5,Kapaa,22.0752,-159.319,78.12,79,100,8.01,US,2022-07-03 03:54:29
6,Castro,-24.7911,-50.0119,56.21,74,6,4.34,BR,2022-07-03 03:54:30
7,Albany,42.6001,-73.9662,66.06,76,71,3.91,US,2022-07-03 03:54:30
8,Bredasdorp,-34.5322,20.0403,50.2,81,8,7.05,ZA,2022-07-03 03:54:30
9,Ushuaia,-54.8,-68.3,38.86,75,40,12.66,AR,2022-07-03 03:54:31
10,Puerto Ayora,-0.7393,-90.3518,70.56,87,39,1.99,EC,2022-07-03 03:54:31
11,Mitsamiouli,-11.3847,43.2844,77.29,61,40,19.57,KM,2022-07-03 03:54:31
12,Hami,42.8,93.45,88.83,19,100,4.88,CN,2022-07-03 03:47:15
13,Jacareacanga,-6.2222,-57.7528,75.51,77,81,1.21,BR,2022-07-03 03:54:32
14,Hobart,-42.8794,147.3294,58.23,68,20,10.36,AU,2022-07-03 03:40:52
15,Salaga,8.5508,-0.5188,71.83,93,84,3.53,GH,2022-07-03 03:54:32
16,Meulaboh,4.1363,96.1285,83.26,67,90,3.15,ID,2022-07-03 03:54:33
17,Port Alfred,-33.5906,26.891,57.18,89,11,6.33,ZA,2022-07-03 03:54:33
18,Rikitea,-23.1203,-134.9692,74.43,76,6,21.97,PF,2022-07-03 03:54:33
19,Biankouma,7.7391,-7.6138,67.86,98,100,2.06,CI,2022-07-03 03:54:33
20,Vaini,-21.2,-175.2,75.36,78,75,9.22,TO,2022-07-03 03:54:34
21,Izumo,35.3667,132.7667,91.29,58,75,9.22,JP,2022-07-03 03:49:50
22,Asosa,10.0667,34.5333,60.17,98,100,0.78,ET,2022-07-03 03:54:34
23,Port Hawkesbury,45.6169,-61.3485,68.81,92,100,5.99,CA,2022-07-03 03:54:35
